	001A	001B	002B	004B	006A	006B	008A	009A	009B	010A	010B	012A	012B	013A	014B	016B	017B	018B	020B	27S	30S	4S
Flagellar hook protein FlgE	2	0	0	0	671	3	136	1550	3	6648	4	4985	1	3	2	3	1	2	4	0	0	0
Flagellar hook-associated protein 3	0	4	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1
Flagellar hook-associated protein FlgK	0	0	1	0	551	2	104	1120	1	9723	4	3581	3	2	4	8	2	3	2	0	0	0
Flagellar hook-associated protein FlgL	1	1	0	0	362	3	61	1015	1	6909	0	2665	1	3	0	3	4	1	1	0	0	0
Flagellar hook-associated protein FliD	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0
Flagellar hook-basal body complex protein FliE	0	0	0	0	180	0	43	238	0	2566	5	1305	0	0	0	3	0	0	0	0	0	0
Flagellar hook-length control protein FliK	1	1	0	0	2	0	4	4	0	1	0	2	0	0	2	1	1	0	0	1	0	0
Flagellar M-ring protein FliF	1	0	0	1	278	1	38	321	1	3062	1	1201	5	1	6	2	5	5	1	0	0	0
Flagellar motor rotation protein MotA	0	0	0	0	671	4	87	1029	0	12232	3	3552	6	3	2	5	3	2	0	0	0	0
Flagellar motor rotation protein MotB	1	1	1	1	1278	4	65	974	1	6832	1	3612	2	3	2	2	2	4	1	1	1	1
Flagellar motor switch protein FliG	1	1	1	1	283	5	29	319	6	2571	273	1112	9	5	4	9	7	2	4	1	1	1
Flagellar motor switch protein FliM	0	1	1	1	500	4	72	809	1	5924	1	3022	1	11	4	3	4	2	3	1	1	1
Flagellar motor switch protein FliN	4	2	2	2	735	9	89	1257	1	8815	641	4839	3	5	5	3	3	6	2	2	2	2
Flagellar P-ring protein FlgI	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)	2	1	1	1	183	3	33	295	1	2598	1	982	7	1	5	5	1	4	1	4	1	1
Flagellar protein FlhE	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
Flagellar protein FliJ	1	2	1	1	107	1	3	132	1	1075	1	523	1	1	1	1	1	1	1	1	1	1
Flagellar synthesis regulator FleN	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
Flagellar transcriptional activator FlhC	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flagellin protein FlaA	9	1	0	1	10228	85	1343	26280	45	228918	3981	127001	55	127	63	96	80	45	53	0	0	0
Flagellin protein FlaB	1	1	1	1	560	5	107	1428	2	9683	3	3191	27	6	6	7	7	2	3	1	1	1
Flagellin protein FlaG	4	0	0	0	1212	9	281	1829	2	18737	2	16701	10	20	5	7	0	5	7	0	0	0
Flagellum-specific ATP synthase FliI	0	0	0	1	4	0	0	1	0	0	0	1	3	0	0	1	0	1	0	0	0	0
Flavodoxin	1506	13327	1893	1571	20013	538	66809	28938	6674	11431	3407	25464	29999	11355	43617	45812	84572	32379	1220	8914	2779	6534
Flavodoxin 1	101	226	117	94	31616	137	7541	29513	103	124602	110	17493	45277	26961	51929	3187	75001	53796	94	32669	26	11
Flavodoxin 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Flavodoxin reductases (ferredoxin-NADPH reductases) family 1	3175	177	1	474	21	1878	3	23	29	6	25	3	3	5	3	1	2	1	186	2	28	1
Flavohemoprotein (Hemoglobin-like protein) (Flavohemoglobin) (Nitric oxide dioxygenase) (EC 1.14.12.17)	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Flavoprotein MioC	2	0	0	0	0	0	0	4	0	0	0	2	2	0	0	0	2	0	0	0	0	0
Flp pilus assembly protein RcpC/CpaB	3	0	0	0	1	0	1	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Flp pilus assembly protein TadB	0	0	0	0	3	0	0	2	0	4	0	2	0	0	2	0	1	0	0	10	0	0
Flp pilus assembly protein TadD, contains TPR repeat	0	0	0	0	6	0	1	31	0	22	1	42	5	0	2	2	19	12	0	0	0	0
FMN reductase (EC 1.5.1.29)	1	3	1	2	114	1	2	5	1	2	1	47	469	1	1	3	2	1	1	1	1	1
FmtA protein involved in methicillin resistance	1	9280	448	2	4	0	11	4	3921	3	2855	2	1	1	5	9	3	0	2	5	4437	5185
FmtB (Mrp) protein involved in methicillin resistance and cell wall biosynthesis	0	0	0	0	1	0	0	1	0	1	3	0	0	1	1	0	1	0	0	0	0	0
FmtC (MrpF) protein involved in methicillin resistance	1	1	1	0	2	0	0	7	2	6	1	11	1	1	3	1	2	1	3	1	0	0
Foldase clustered with pyrimidine conversion	5649	15287	12434	19305	51	7750	5330	4860	7896	47	5826	3420	2402	2637	4817	3286	1658	206	4907	1378	9844	10301
Foldase protein PrsA precursor (EC 5.2.1.8)	4	14	15	2	85	3	22	94	2	102	18	108	24	43	53	7	24	27	4	12	2	2
Folylpolyglutamate synthase (EC 6.3.2.17)	1915	2042	7776	9758	568	4857	4397	2984	1266	2760	820	2076	3388	2084	2668	4010	4916	5702	1635	1168	2366	2606
Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	3731	3959	4969	4997	421	2829	3418	2247	1356	203	1484	2084	1310	1960	2158	4289	1796	923	904	428	779	1021
Formate dehydrogenase chain D (EC 1.2.1.2)	0	0	0	1	1	0	0	0	0	0	1	18	0	0	2	0	0	0	1	0	0	0
formate dehydrogenase formation protein FdhE	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0
Formate dehydrogenase N beta subunit (EC 1.2.1.2)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Formate dehydrogenase N gamma subunit (EC 1.2.1.2)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0
Formate dehydrogenase O beta subunit (EC 1.2.1.2)	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Formate dehydrogenase O gamma subunit (EC 1.2.1.2)	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0
Formate dehydrogenase O putative subunit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Formate dehydrogenase-O, major subunit (EC 1.2.1.2)	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Formate efflux transporter (TC 2.A.44 family)	1	1	1	2	2	1	1	4	1	2	1	1	1	1	5	1	2	1	1	1	1	1
Formate hydrogenlyase regulatory protein HycA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Formate hydrogenlyase subunit 2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Formate hydrogenlyase subunit 3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Formate hydrogenlyase subunit 4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Formate hydrogenlyase subunit 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0
Formate hydrogenlyase subunit 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Formate hydrogenlyase subunit 7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
Formate hydrogenlyase transcriptional activator	4	7	1	2	211	3	401	778	4	2985	3	139	985	944	1883	362	5443	1790	3	1646	2	1
Formate--tetrahydrofolate ligase (EC 6.3.4.3)	3460	2310	10751	13117	1778	8896	4739	4618	1179	4785	858	2628	2885	2827	4370	3140	4732	2344	1448	1783	2247	1197
Formiminoglutamase (EC 3.5.3.8)	1	1	0	2	60	0	1	41	0	29	0	84	9	3	0	0	7	5	0	5	1	1
Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	17	13	9	5	352	3	930	504	6	234	4	277	349	231	817	531	1007	420	3	66	3	3
Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Fructokinase (EC 2.7.1.4)	3732	3750	238	655	1280	298	3533	1419	1443	4241	1315	1151	2130	1340	3639	1522	5381	3744	983	1681	1265	2096
Fructose repressor FruR, LacI family	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
fructose response regulator of fruA and EII fructose/mannose	1	55	30	414	6	2	2	1	1	10	1	6	1	2	2	2	2	1	847	1	14	22
fructose sensor histidine kinase	1	80	35	377	18	0	12	260	1	154	0	23	326	35	47	410	623	659	902	0	16	20
Fructose-1,6-bisphosphatase, Bacillus type (EC 3.1.3.11)	4	132	13	8	581	8	733	648	77	1602	68	287	843	692	1346	797	2266	411	4	717	3	2
Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)	7	15	6	3	697	1	617	409	6	390	9	507	1242	383	610	341	659	436	3	96	2	2
Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	1
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	4	8	4	3	543	6	10	112	3	153	2	63	18	68	60	29	137	52	2	39	2	2
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	19420	223326	106252	107806	36751	49525	73863	94223	81239	83174	100057	87993	58018	49027	87446	64617	82343	39552	39920	61976	82480	94808
Fructose-specific phosphocarrier protein HPr (EC 2.7.1.69)	106	2	2	2	111	2	144	147	2	53	2	28	142	31	56	22	47	23	2	35	2	2
Fructoselysine kinase (EC 2.7.1.-)	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Fructuronate transporter GntP	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
FtsK/SpoIIIE family protein, putative secretion system component EssC/YukA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Fucose permease	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fumarate and nitrate reduction regulatory protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
Fumarate hydratase class I (EC 4.2.1.2)	0	0	0	0	11	0	0	1	0	9	0	0	1	0	0	0	0	0	0	0	0	0
Fumarate hydratase class I, aerobic (EC 4.2.1.2)	1	4	2	1	15	2	2	6	1	12	2	3	14	3	6	2	3	2	1	2	3	2
Fumarate hydratase class I, anaerobic (EC 4.2.1.2)	9	13	12	10	15	8	796	506	3	4578	8	14	1452	1346	1779	1034	7609	4822	7	1338	1	0
Fumarate hydratase class II (EC 4.2.1.2)	2	6	5	5	456	3	325	169	3	89	7	2770	389	86	142	195	354	136	10	90	2	2
Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	11290	10703	1140	4489	140	1357	982	850	4483	76	5117	584	283	458	899	794	346	78	4639	214	3827	8665
Fumarate reductase subunit C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Fumarate reductase subunit D	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fumarylacetoacetate hydrolase family protein	6	7	7	3	709	5	191	258	5	910	5	249	400	358	607	110	1892	526	2	373	2	2
Functional role page for Anaerobic nitric oxide reductase transcription regulator NorR	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Functional role page for Chaperone protein TorD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Functional role page for TorCAD operon transcriptional regulatory protein TorR	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Fused spore maturation proteins A and B	4	7	5	3	98	2	65	181	2	357	5	36	149	175	292	45	558	286	3	458	1	1
G:T/U mismatch-specific uracil/thymine DNA-glycosylase	3	8	2	3	101	5	109	285	2	1304	2	43	340	389	416	85	606	543	2	427	2	4
Galactitol utilization operon repressor	6	934	73	0	1	0	5	0	548	12	432	5	0	4	1	1	0	0	0	2	1297	765
Galactocerebrosidase precursor (EC 3.2.1.46)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Galactokinase (EC 2.7.1.6)	1945	1534	71	177	360	227	284	1331	261	1556	343	260	1141	839	1138	193	5458	643	120	337	201	384
Galactonate dehydratase (EC 4.2.1.6)	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
Galactosamine-6-phosphate isomerase (EC 5.3.1.-)	2927	10	3259	222	16	454	201	1327	6	22	6	4039	44	194	180	9961	14	583	61	20	107	2
Galactosamine-6-phosphate isomerase (galactosamine-6-phosphate deaminase) (EC 5.3.1.-)	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galactose operon repressor, GalR-LacI family of transcriptional regulators	458	694	51	66	3	63	17	8	383	4	326	8	3	7	6	4	5	6	128	19	276	482
Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	4062	5589	248	1421	331	426	791	531	965	254	1784	454	654	283	791	1023	1653	875	1076	150	1736	5202
Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)	3248	23	1396	866	51	318	1780	6612	7	49	7	3247	540	1237	2077	15904	14	3120	21	381	251	35
Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)	4636	22	1731	1132	29	371	1776	6652	7	72	11	3261	595	1067	2114	16410	18	3193	27	463	234	77
Galactose/methyl galactoside ABC transport system, ATP-binding protein MglA (EC 3.6.3.17)	0	3	3	0	44	4	3	19	1	38	0	8	5	9	11	9	11	14	1	2	1	0
Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)	1	17	11	2	237	1	5	7	1	2	2	2	2	1	9	2	19	2	2	7	1	1
Galactose/methyl galactoside ABC transport system, permease protein MglC (TC 3.A.1.2.3)	0	0	0	0	11	0	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0
Galactoside O-acetyltransferase (EC 2.3.1.18)	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	5
Galactosyl transferase CpsE (EC 2.7.8.-)	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALNS arylsulfatase regulator (Fe-S oxidoreductase)	4	5	4	4	405	7	41	359	5	9478	7	5	5	494	26	93	6645	1099	3	5	1	1
Gamma-D-Glutamyl-meso-Diaminopimelate Amidase	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	53	9	12	8	445	8	649	640	8	384	3	378	1032	365	921	610	1609	961	9	323	6	10
Gamma-glutamyltranspeptidase (EC 2.3.2.2)	1	0	1	0	20	0	1	16	0	3	0	27	1	2	1	2	10	2	0	1	0	0
Gamma-hemolysin component C	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0
GDP-L-fucose synthetase (EC 1.1.1.271)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
General secretion pathway protein A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
General secretion pathway protein C	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
General secretion pathway protein D	0	1	0	0	0	0	2	2	0	1	0	1	0	0	1	0	1	2	0	0	0	0
General secretion pathway protein E	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0
General secretion pathway protein F	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
General secretion pathway protein G	1	1	1	1	23	1	15	17	1	50	1	30	34	168	11	29	245	15	2	5	1	1
General secretion pathway protein I	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1
General secretion pathway protein J	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
General secretion pathway protein K	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0
General secretion pathway protein L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0
General secretion pathway protein M	0	2	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)	27	13	5684	8404	179	4123	3345	3370	91	87	12	2094	1541	1616	1660	4021	1412	257	14	534	262	41
Germination-specific N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28), cell wall hydrolase CwlD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GftB: Glycosyl transferase, family 8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	1
GGDEF/EAL domain protein YhjH	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Global nitrogen regulatory protein, CRP family of transcriptional regulators	0	0	0	0	13	0	1	4	0	1	0	3	5	1	8	4	4	3	0	0	0	0
GlpG protein (membrane protein of glp regulon)	599	4376	1997	3578	104	1119	1233	1938	2318	122	1820	752	864	1146	1207	1422	1087	507	2293	621	1301	2349
GltC, transcription activator of glutamate synthase operon	89	1	1	30	34	11	15	37	1	61	1	46	31	9	21	23	97	34	6	15	2	7
Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)	1604	5843	3530	11387	12	1708	2047	1338	1538	24	3023	1185	737	1394	1610	1939	542	122	14869	295	2152	3236
Glucans biosynthesis glucosyltransferase H (EC 2.4.1.-)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Glucans biosynthesis protein C (EC 2.1.-.-)	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucans biosynthesis protein G precursor	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0
Glucarate dehydratase (EC 4.2.1.40)	4	1	5	0	0	1	1	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0
Glucitol operon activator protein	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	4	1	1	1	1	4
Glucitol operon GutQ protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Glucitol operon repressor	458	2028	119	9	2	32	2	3	760	2	574	3	1	2	1	1	3	1	3	12	3777	1366
Glucoamylase (EC 3.2.1.3)	0	0	0	0	1	0	1	6	0	0	0	0	1	3	1	0	5	1	0	1	0	0
Glucokinase (EC 2.7.1.2)	23	14	15	13	19	1	19	262	23	7	15	35	118	4	20	2	138	28	19	2	8	15
Glucokinase, ROK family (EC 2.7.1.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
Gluconate dehydratase (EC 4.2.1.39)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	7
Gluconate permease	150	1	0	0	1	1	4	2	0	3	1	1	23	3	1	11	37	22	2	7	0	0
Gluconate permease, Bsu4004 homolog	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
Gluconate transporter family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gluconate utilization system Gnt-I transcriptional repressor	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gluconokinase (EC 2.7.1.12)	1093	2542	58	31	82	62	793	335	1712	100	1005	356	92	233	563	571	876	449	10	115	825	995
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	423	5339	6544	10809	1581	4573	4529	4031	6764	4302	3802	4447	3425	4228	4644	8218	6863	3518	1111	4670	8310	14350
Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	1	2	1	1	128	1	22	241	1	1185	1	820	1	1	2	3	3	2	1	1	1	1
Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	1196	1871	1996	1626	4225	1083	2859	7075	3706	10163	858	4673	6499	4321	9434	3579	19526	7373	317	1983	1819	1865
Glucosamine-6-phosphate deaminase [isomerizing], alternative (EC 3.5.99.6)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucose 1-dehydrogenase (EC 1.1.1.47)	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	4
Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	5	7	2	2	393	5	13	486	5	50	2	321	65	76	72	16	88	20	2	9	7	8
Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	0	0	1	0	90	0	0	7	0	66	0	47	4	3	54	0	18	0	0	2	1	1
Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	1020	39	23	38	1009	21	757	2067	15	9774	14	1165	2688	2220	3492	670	8493	3593	156	3620	19	16
Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	2258	5653	2519	3056	50	1749	1755	900	1107	349	1711	1257	1130	1077	1361	2179	1635	1170	1355	677	3308	7990
Glucose-6-phosphate isomerase (EC 5.3.1.9)	12401	11497	12220	14834	4888	7187	11453	13961	5368	23534	5195	16697	9376	11355	19226	16703	25666	13191	5481	16365	4256	3824
Glucose/mannose:H+ symporter GlcP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Glucuronide transport facilitator UidC	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Glucuronide transporter UidB	2	0	2	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0
Glutaconyl-CoA decarboxylase alpha chain (EC 4.1.1.70)	0	0	0	0	283	0	2	0	0	1	0	1	0	1	1	0	17	0	0	9	0	0
Glutaconyl-CoA decarboxylase beta chain (EC 4.1.1.70)	1	0	0	0	166	0	0	0	0	0	0	0	0	0	0	1	8	0	0	6	0	0
Glutaconyl-CoA decarboxylase delta chain (EC 4.1.1.70)	1	20	11	3	487	1	11	288	1	360	19	654	55	9	9	1	23	77	1	4	1	1
Glutamate 5-kinase (EC 2.7.2.11)	89	8	12	3	449	4	618	301	11	283	3	351	913	218	446	451	923	501	16	242	4	3
Glutamate decarboxylase (EC 4.1.1.15)	385	15	64	5	5	5	9	6	6	2152	6	1095	49	6	7	17	122	42	4	0	0	7
Glutamate formiminotransferase (EC 2.1.2.5)	2	13	2	6	1186	3	61	88	2	714	5	85	176	132	354	68	596	277	1	130	1	1
Glutamate racemase (EC 5.1.1.3)	1344	4749	1735	3248	1028	1187	2475	2104	1899	1491	1397	2162	1561	2013	3413	2911	4913	2047	718	1325	1392	1561
Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	0	1	0	0	6	0	131	25	1	4	0	18	1	47	175	33	85	28	1	37	5	4
Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	14	27	19	13	849	11	1158	798	8	1443	10	577	1308	654	1577	857	2913	1130	11	249	3	2
Glutamate transport ATP-binding protein	25	37	4686	5807	155	3200	7254	3783	91	130	16	4942	2206	3594	10080	7724	1804	401	67	733	385	74
Glutamate transport membrane-spanning protein	18	3	7	4	10	3	776	214	1	514	3	192	644	1626	2019	418	1873	1299	4	690	1	1
Glutamate transport permease protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0
Glutamate transport substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Glutamate--cysteine ligase (EC 6.3.2.2)	20	3	4	2	3	1	8	6	3	8	1	2	1	9	2	5	9	5	15	5	1	3
Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	1	4	2	1	30	1	3	6	1	13	1	6	10	4	12	2	11	8	2	1	1	1
Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)	168	3	3	5	13	21	159	39	1	55	0	26	151	52	138	127	361	211	3	47	1	0
Glutaminase (EC 3.5.1.2)	179	5	2	4	121	56	3	50	1	154	1	288	12	8	3	2	11	17	7	1	2	1
Glutamine amidotransferase chain of NAD synthetase	78	19	11	4	372	6	1329	829	5	1878	6	367	1138	563	1256	698	3644	1609	7	1055	3	3
Glutamine amidotransferase, class-II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Glutamine synthetase type I (EC 6.3.1.2)	3025	27782	8536	13822	406	4433	8606	3476	11699	6206	16486	5690	5211	4359	8893	6628	11582	8187	2467	5833	16695	41974
Glutamine synthetase type III, GlnN (EC 6.3.1.2)	31	23	2144	486	639	44	2644	2832	59	6680	16	6340	2189	5646	7408	3261	3990	1873	10	793	2	2
Glutamine synthetase, clostridia type (EC 6.3.1.2)	7	3	1	2	324	2	182	241	2	51	1	311	240	278	733	612	1777	286	2	57	1	1
Glutaminyl-tRNA synthetase (EC 6.1.1.18)	18	29	16	17	1903	10	2939	2365	12	4996	14	1208	2469	1980	4118	1927	7240	3493	14	1831	4	4
glutamyl-Q-tRNA synthetase	18	2	2	2	213	1	500	322	1	51	3	295	1029	128	241	341	385	293	5	367	2	2
Glutamyl-tRNA reductase (EC 1.2.1.70)	1	1	4	2	19	1	6	11	2	2	1	3	8	4	5	2	3	1	1	2	1	1
Glutamyl-tRNA synthetase (EC 6.1.1.17)	4	14	8	4	416	6	369	850	3	2745	3	220	906	1178	2357	351	3715	2207	11	2012	2	2
Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	5017	12540	14542	17840	4626	6702	15122	15858	8205	4667	4851	11387	8138	7880	10158	12339	10584	4416	3385	6246	16300	19094
Glutaredoxin	89	36	36	19	484	11	104	1928	13	226	11	919	3001	74	1385	159	487	59	19	19	12	15
Glutaredoxin 1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0
Glutaredoxin 2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
Glutaredoxin 3 (Grx1)	3	0	0	0	3	0	0	0	0	0	0	13	0	0	7	0	0	40	0	0	0	0
Glutaredoxin 3 (Grx3)	1	11	1	1	1	1	2	1	1	1	1	1	1	1	11	1	1	1	1	1	1	1
Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	349	19	103	16	138	18	5252	1855	18	569	12	536	763	261	690	805	1954	3964	119	503	34	41
Glutaredoxin-related protein	5	9	5	7	1751	10	539	2800	16	19738	10	11027	655	728	1191	233	2168	1685	9	1237	5	5
Glutathione biosynthesis bifunctional protein gshF (EC 6.3.2.2)(EC 6.3.2.3)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
Glutathione peroxidase (EC 1.11.1.9)	22	21	12	11	1564	15	2708	1791	9	14349	19	383	2256	2905	3424	1128	15050	15805	12	5859	4	4
Glutathione reductase (EC 1.8.1.7)	255	0	0	7	0	35	0	2	0	1	0	0	0	1	0	1	1	1	1	0	0	0
Glutathione S-transferase (EC 2.5.1.18)	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione S-transferase domain protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
